s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	tag	task	sample	cpus_per_task	snake_thread
2841.9418	0:47:21	6460.83	14129.94	2260.16	3033.31	9869.54	53.1	127.76	3632.62	a8	m6anet_dataprep	deac	16	4
3000.9266	0:50:00	6530.16	14206.96	2295.15	3238.88	13456.23	50	123.51	3707.45	a9	m6anet_dataprep	deac	8	4
3109.5199	0:51:49	5084.57	12805.87	2610.82	3206.81	5031.61	49.61	128.44	3995.02	a7	m6anet_dataprep	deac	32	4
3150.332	0:52:30	5867.31	13645.27	2195.59	3009.58	677.04	49.45	127.91	4029.75	a0	m6anet_dataprep	deac	4	4
5164.5985	1:26:04	6330.42	13992.91	2576.31	3499.97	63873.49	98.71	125.35	6473.13	b7	m6anet_dataprep	deac	32	4
5586.5074	1:33:06	6456.12	14286.16	2662.37	3583.13	55841.29	100.05	124.04	6930.24	b9	m6anet_dataprep	deac	8	4
5803.5581	1:36:43	5953.76	13804.68	2853.87	3552.54	63375.32	100.18	122.32	7100.53	b8	m6anet_dataprep	deac	16	4
6612.9641	1:50:12	6942.75	14503.57	3014.91	3947.46	43196.72	98.8	126.38	8358.05	b0	m6anet_dataprep	deac	4	4
12432.8705	3:27:12	6488.86	14256.88	2987.22	3789.79	127313.14	223.93	122.42	15202.42	c8	m6anet_dataprep	deac	16	4
12834.4683	3:33:54	6958.54	14791.54	3646.56	4352.23	127623.77	222.04	115.91	14877.19	c9	m6anet_dataprep	deac	8	4
12899.0244	3:34:59	6509.91	14200.22	2990.88	3813.97	127448.32	229.09	124.02	15999.33	c0	m6anet_dataprep	deac	4	4
12946.7585	3:35:46	6389.76	14105.77	2729.27	3569.43	128282.11	222.11	124.16	16076.58	c7	m6anet_dataprep	deac	32	4
32894.7616	9:08:14	7140.51	14792.29	3142.5	4032.29	339724.19	729.28	125.17	41178.28	d7	m6anet_dataprep	deac	32	4
33642.8216	9:20:42	6882.84	14764.52	2862.26	3649.36	349958.04	746.83	124.85	42005.44	d8	m6anet_dataprep	deac	16	4
33633.4384	9:20:33	6973.24	14739.7	3220.12	4093.74	337713.25	742.65	122.63	41248.01	d9	m6anet_dataprep	deac	8	4
36924.5583	10:15:24	6787.13	14574.29	3157.71	3957.39	325307.46	723.76	126.29	46609.81	d0	m6anet_dataprep	deac	4	4
2248.8068	0:37:28	13216.62	27219.35	4211.42	5487.21	18597.2	49.31	127.67	2873.96	a3	m6anet_dataprep	deac	32	8
